session_id,datetime,pps_count
"1528591102961e0950666-dfbf-fe3a-e8ad-5de3559b13ac","2018-06-10 00:38:23.000",1
"1528591105404692fd632-9c5d-acfe-be04-4c219b3c525d","2018-06-10 00:38:27.000",1
"15285911087690c311629-197e-3e06-d799-95dd3fe9fb14","2018-06-10 00:38:29.000",1
"1528591122011212c8690-3b00-7f05-0261-aea0c967e44c","2018-06-10 00:38:43.000",1
"1528591145093a0e48ba5-5632-721f-295f-ce47288b797c","2018-06-10 00:39:10.000",1
"15285911681412f104b80-9df8-1b04-c5ca-83b88ea65c9e","2018-06-10 00:39:28.000",12
"15285911847527527ddbd-01d6-ac7b-9696-f74bdb66ea76","2018-06-10 00:39:44.000",1
"1528591198293c4313a26-91f0-5428-2591-7acbc6cf3e57","2018-06-10 00:39:59.000",19
"1528591196080ea76ea64-9e60-bd68-fea3-2f09071e9fbd","2018-06-10 00:40:03.000",2
"15285912023148babe310-faca-f80a-da5a-deff1ed43aab","2018-06-10 00:40:03.000",1
"1528591216684085bb775-fe65-fb73-f28d-a2b4cd8bf69d","2018-06-10 00:40:17.000",1
"1528591262725d7eb86ce-b86e-c7ae-4c24-c7b3083e6d39","2018-06-10 00:41:05.000",15
"1528591267594c43f9562-a0db-16bc-b25a-55e423e05d25","2018-06-10 00:41:08.000",1
"15285912702899bfc82e9-414f-6ab1-afb5-1c1315b1f25f","2018-06-10 00:41:11.000",5
"152859127427485026e53-ef1d-efc4-7404-4c9a63c68056","2018-06-10 00:41:13.000",1
"1528591274657b59499fb-996e-be4a-6236-94c3662735fa","2018-06-10 00:41:16.000",20
"1528591287640b7b9949d-2ad0-e5df-68b4-b1b4ce0cbe38","2018-06-10 00:41:28.000",1
"152859131129739168724-0980-cdac-79f2-af9c1b7c52ea","2018-06-10 00:41:36.000",21
"152859143141208152977-ecdf-4179-8373-2b77881df9ab","2018-06-10 00:41:57.000",5
"1528591329704717de579-fcdb-c01f-d844-4de1b5efd64e","2018-06-10 00:42:11.000",1
"152859134119458a84a1d-a1f1-07c3-702e-5d45fca7448d","2018-06-10 00:42:21.000",2
"15285913429355ee80d1a-42e3-4b52-40b4-46b7ab3dfb00","2018-06-10 00:42:23.000",1
